nohup: ignoring input
[SDP] flash=False, mem_efficient=False, math=True (for higher-order gradients)
Training artifacts will be saved to: ../checkpoints/mmgj_transformer_default_2026-03-16_08-58-26

  0%|                                                                                       | 0/5000000 [00:00<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                                         | 0/5000000 [00:02<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                            | 1/5000000 [00:02<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 48.085 | M-Loss: 130.905:   0%|                           | 1/5000000 [00:04<3018:28:57,  2.17s/it]
[Work (2/5)] P-Loss: 36.715 | M-Loss: 122.244:   0%|                          | 57/5000000 [01:38<2371:04:10,  1.71s/it]
[Work (3/5)] P-Loss: 35.562 | M-Loss: 119.528:   0%|                          | 57/5000000 [01:40<2371:04:10,  1.71s/it]
[Work (3/5)] P-Loss: 35.562 | M-Loss: 119.528:   0%|                          | 58/5000000 [01:40<2385:26:24,  1.72s/it]
[Work (4/5)] P-Loss: 29.311 | M-Loss: 113.601:   0%|                          | 58/5000000 [01:41<2385:26:24,  1.72s/it]
[Work (4/5)] P-Loss: 29.311 | M-Loss: 113.601:   0%|                          | 59/5000000 [01:41<2396:40:36,  1.73s/it]
[Work (5/5)] P-Loss: 35.013 | M-Loss: 120.231:   0%|                          | 59/5000000 [01:43<2396:40:36,  1.73s/it]
[Work (5/5)] P-Loss: 35.013 | M-Loss: 120.231:   0%|                          | 60/5000000 [01:43<2432:31:53,  1.75s/it]
[LGN (1/1)] P-Loss: 3.780 | M-Unroll: 86.059:   0%|                           | 60/5000000 [01:45<2432:31:53,  1.75s/it]
[LGN (1/1)] P-Loss: 3.780 | M-Unroll: 86.059:   0%|                           | 61/5000000 [01:45<2350:47:38,  1.69s/it]
[Work (1/5)] P-Loss: 30.924 | M-Loss: 116.936:   0%|                          | 61/5000000 [01:46<2350:47:38,  1.69s/it]
[Work (1/5)] P-Loss: 30.924 | M-Loss: 116.936:   0%|                          | 62/5000000 [01:46<2351:21:22,  1.69s/it]
[Work (2/5)] P-Loss: 29.784 | M-Loss: 114.359:   0%|                          | 62/5000000 [01:48<2351:21:22,  1.69s/it]
[Work (2/5)] P-Loss: 29.784 | M-Loss: 114.359:   0%|                          | 63/5000000 [01:48<2363:09:29,  1.70s/it]
[Work (3/5)] P-Loss: 28.852 | M-Loss: 112.914:   0%|                          | 63/5000000 [01:50<2363:09:29,  1.70s/it]
[Work (3/5)] P-Loss: 28.852 | M-Loss: 112.914:   0%|                          | 64/5000000 [01:50<2381:27:45,  1.71s/it]
[Work (4/5)] P-Loss: 25.592 | M-Loss: 109.855:   0%|                          | 64/5000000 [01:52<2381:27:45,  1.71s/it]
[Work (4/5)] P-Loss: 25.592 | M-Loss: 109.855:   0%|                          | 65/5000000 [01:52<2390:06:19,  1.72s/it]
[Work (5/5)] P-Loss: 28.088 | M-Loss: 113.031:   0%|                          | 65/5000000 [01:53<2390:06:19,  1.72s/it]
[Work (5/5)] P-Loss: 28.088 | M-Loss: 113.031:   0%|                          | 66/5000000 [01:53<2403:58:42,  1.73s/it]
[LGN (1/1)] P-Loss: 2.371 | M-Unroll: 87.948:   0%|                           | 66/5000000 [01:55<2403:58:42,  1.73s/it]
[LGN (1/1)] P-Loss: 2.371 | M-Unroll: 87.948:   0%|                           | 67/5000000 [01:55<2324:29:06,  1.67s/it]
[Work (1/5)] P-Loss: 26.123 | M-Loss: 112.692:   0%|                          | 67/5000000 [01:57<2324:29:06,  1.67s/it]
[Work (1/5)] P-Loss: 26.123 | M-Loss: 112.692:   0%|                          | 68/5000000 [01:57<2363:58:31,  1.70s/it]
[Work (2/5)] P-Loss: 26.012 | M-Loss: 111.585:   0%|                          | 68/5000000 [01:58<2363:58:31,  1.70s/it]
[Work (2/5)] P-Loss: 26.012 | M-Loss: 111.585:   0%|                          | 69/5000000 [01:58<2375:24:59,  1.71s/it]
[Work (3/5)] P-Loss: 28.227 | M-Loss: 111.867:   0%|                          | 69/5000000 [02:00<2375:24:59,  1.71s/it]
[Work (3/5)] P-Loss: 28.227 | M-Loss: 111.867:   0%|                          | 70/5000000 [02:00<2389:31:20,  1.72s/it]
[Work (4/5)] P-Loss: 24.650 | M-Loss: 109.144:   0%|                          | 70/5000000 [02:02<2389:31:20,  1.72s/it]
[Work (4/5)] P-Loss: 24.650 | M-Loss: 109.144:   0%|                          | 71/5000000 [02:02<2399:43:55,  1.73s/it]
[Work (5/5)] P-Loss: 36.218 | M-Loss: 120.521:   0%|                          | 71/5000000 [02:04<2399:43:55,  1.73s/it]
[Work (5/5)] P-Loss: 36.218 | M-Loss: 120.521:   0%|                          | 72/5000000 [02:04<2410:52:27,  1.74s/it]
[LGN (1/1)] P-Loss: 4.119 | M-Unroll: 82.022:   0%|                           | 72/5000000 [02:05<2410:52:27,  1.74s/it]
[LGN (1/1)] P-Loss: 4.119 | M-Unroll: 82.022:   0%|                           | 73/5000000 [02:05<2346:11:04,  1.69s/it]
[Work (1/5)] P-Loss: 26.322 | M-Loss: 110.277:   0%|                          | 73/5000000 [02:07<2346:11:04,  1.69s/it]
[Work (1/5)] P-Loss: 26.322 | M-Loss: 110.277:   0%|                          | 74/5000000 [02:07<2351:02:34,  1.69s/it]
[Work (2/5)] P-Loss: 25.647 | M-Loss: 110.626:   0%|                          | 74/5000000 [02:09<2351:02:34,  1.69s/it]
[Work (2/5)] P-Loss: 25.647 | M-Loss: 110.626:   0%|                          | 75/5000000 [02:09<2367:48:58,  1.70s/it]
[Work (3/5)] P-Loss: 25.551 | M-Loss: 109.894:   0%|                          | 75/5000000 [02:10<2367:48:58,  1.70s/it]
[Work (3/5)] P-Loss: 25.551 | M-Loss: 109.894:   0%|                          | 76/5000000 [02:10<2408:41:18,  1.73s/it]
